Sale Record ID,Sale Date,Customer Record ID,Item Description,Department,Category,UPC Code,Store Code,Unit Price,Quantity,Total Price,Discount,Total,Cost of Goods Sold,Register Number,Supplier Name
131016214,2014-05-15 12:46:53 -0400,1790441,Apple  Pink Lady,general,general,,400000001753,1.0,2.0,2.0,0.0,2.0,0.0,1,Buffalo Trail Orchard
131016214,2014-05-15 12:46:53 -0400,1790441,Blackberries  Frozen (Tame),general,general,,400000001883,3.75,8.0,30.0,0.0,30.0,0.0,1,Buffalo Trail Orchard
131084317,2014-05-15 14:50:59 -0400,1633404,PorkApplewood Smoked Ham Hocks (uncured),general,general,,400000003122,3.0,2.0,6.0,0.0,6.0,0.0,1,Sentelles Homemade Sausage Co.
131084317,2014-05-15 14:50:59 -0400,1633404,"PorkBreakfast Sausage (Hot, Frozen)",general,general,,400000003146,5.0,5.0,25.0,0.0,25.0,0.0,1,Sentelles Homemade Sausage Co.
